"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2017","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","63,600",""
"SURVEY","2017","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,130",""
"SURVEY","2017","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","187,000",""
"SURVEY","2017","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,210",""
"SURVEY","2017","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,640",""
"SURVEY","2017","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","77,000",""
"SURVEY","2017","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","91,700",""
"SURVEY","2017","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","11,760",""
"SURVEY","2017","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","8,810",""
"SURVEY","2017","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","419,000",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,752,000",""
"SURVEY","2016","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","93,400",""
"SURVEY","2016","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,330",""
"SURVEY","2016","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","171,000",""
"SURVEY","2016","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,900",""
"SURVEY","2016","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,500",""
"SURVEY","2016","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","67,000",""
"SURVEY","2016","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","85,800",""
"SURVEY","2016","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","13,600",""
"SURVEY","2016","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","8,500",""
"SURVEY","2016","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","490,000",""
"SURVEY","2015","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,500",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,792,000",""
"SURVEY","2015","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2015","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","80,600",""
"SURVEY","2015","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,650",""
"SURVEY","2015","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","145,000",""
"SURVEY","2015","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,300",""
"SURVEY","2015","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","3,500",""
"SURVEY","2015","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","72,000",""
"SURVEY","2015","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","77,000",""
"SURVEY","2015","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","11,400",""
"SURVEY","2015","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","9,200",""
"SURVEY","2015","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","411,000",""
"SURVEY","2014","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,490",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,934,000",""
"SURVEY","2014","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,000",""
"SURVEY","2014","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","63,300",""
"SURVEY","2014","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,030",""
"SURVEY","2014","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","188,000",""
"SURVEY","2014","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","2014","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","3,810",""
"SURVEY","2014","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","58,000",""
"SURVEY","2014","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","91,000",""
"SURVEY","2014","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","9,400",""
"SURVEY","2014","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","8,800",""
"SURVEY","2014","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","512,000",""
"SURVEY","2013","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,790",""
"SURVEY","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,742,000",""
"SURVEY","2013","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,600",""
"SURVEY","2013","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","94,000",""
"SURVEY","2013","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,970",""
"SURVEY","2013","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","206,000",""
"SURVEY","2013","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,200",""
"SURVEY","2013","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,490",""
"SURVEY","2013","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","49,000",""
"SURVEY","2013","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","110,000",""
"SURVEY","2013","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,240",""
"SURVEY","2013","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,500",""
"SURVEY","2013","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","392,000",""
"SURVEY","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,530",""
"SURVEY","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,852,000",""
"SURVEY","2012","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,700",""
"SURVEY","2012","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","38,200",""
"SURVEY","2012","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,600",""
"SURVEY","2012","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","115,000",""
"SURVEY","2012","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,950",""
"SURVEY","2012","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,293",""
"SURVEY","2012","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","46,000",""
"SURVEY","2012","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","61,000",""
"SURVEY","2012","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","9,550",""
"SURVEY","2012","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","8,060",""
"SURVEY","2012","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","380,000",""
"SURVEY","2011","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,450",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,642,000",""
"SURVEY","2011","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","3,500",""
"SURVEY","2011","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","94,400",""
"SURVEY","2011","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,200",""
"SURVEY","2011","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","188,000",""
"SURVEY","2011","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,200",""
"SURVEY","2011","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,480",""
"SURVEY","2011","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","41,500",""
"SURVEY","2011","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","91,000",""
"SURVEY","2011","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,330",""
"SURVEY","2011","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,680",""
"SURVEY","2011","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","316,000",""
"SURVEY","2010","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","2,550",""
"SURVEY","2010","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,733,000",""
"SURVEY","2010","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,600",""
"SURVEY","2010","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","36,000",""
"SURVEY","2010","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,100",""
"SURVEY","2010","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","176,000",""
"SURVEY","2010","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,200",""
"SURVEY","2010","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","3,470",""
"SURVEY","2010","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","31,200",""
"SURVEY","2010","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","83,000",""
"SURVEY","2010","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","8,900",""
"SURVEY","2010","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,100",""
"SURVEY","2010","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","336,000",""
"SURVEY","2009","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2009","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","2,350",""
"SURVEY","2009","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,517,000",""
"SURVEY","2009","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,100",""
"SURVEY","2009","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","96,500",""
"SURVEY","2009","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,400",""
"SURVEY","2009","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","133,000",""
"SURVEY","2009","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,800",""
"SURVEY","2009","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,740",""
"SURVEY","2009","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","40,200",""
"SURVEY","2009","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","64,000",""
"SURVEY","2009","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,200",""
"SURVEY","2009","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","8,600",""
"SURVEY","2009","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","381,000",""
"SURVEY","2008","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","800",""
"SURVEY","2008","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","1,800",""
"SURVEY","2008","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","6,508,000",""
"SURVEY","2008","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","3,500",""
"SURVEY","2008","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","73,700",""
"SURVEY","2008","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,200",""
"SURVEY","2008","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","172,000",""
"SURVEY","2008","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,600",""
"SURVEY","2008","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","5,660",""
"SURVEY","2008","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","34,700",""
"SURVEY","2008","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","107,200",""
"SURVEY","2008","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","4,200",""
"SURVEY","2008","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","7,000",""
