"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2015","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","5.79",""
"SURVEY","2014","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.13",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","8.02",""
"SURVEY","2014","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.5",""
"SURVEY","2014","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.8",""
"SURVEY","2014","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.37",""
"SURVEY","2014","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","5.22",""
"SURVEY","2014","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.61",""
"SURVEY","2014","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.38",""
"SURVEY","2014","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.05",""
"SURVEY","2014","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2014","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.35",""
"SURVEY","2014","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.44",""
"SURVEY","2014","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","7.11",""
"SURVEY","2013","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.49",""
"SURVEY","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","8.85",""
"SURVEY","2013","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.88",""
"SURVEY","2013","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","6.81",""
"SURVEY","2013","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.51",""
"SURVEY","2013","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","5.57",""
"SURVEY","2013","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.26",""
"SURVEY","2013","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.82",""
"SURVEY","2013","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.65",""
"SURVEY","2013","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","8.46",""
"SURVEY","2013","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.65",""
"SURVEY","2013","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.21",""
"SURVEY","2013","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","5.68",""
"SURVEY","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.13",""
"SURVEY","2012","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","8.01",""
"SURVEY","2012","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.61",""
"SURVEY","2012","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.75",""
"SURVEY","2012","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.71",""
"SURVEY","2012","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.29",""
"SURVEY","2012","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.36",""
"SURVEY","2012","YEAR","","STATE","OHIO","39","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.11",""
"SURVEY","2012","YEAR","","STATE","OREGON","41","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.56",""
"SURVEY","2012","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.49",""
"SURVEY","2012","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.17",""
"SURVEY","2012","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.6",""
"SURVEY","2012","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","GRAPES","GRAPES - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","5.67",""
